D:\Web\PlayerData_API\Controller\BattlePassRewardController.js: line 5, col 39, Error - Expected to return a value at the end of async arrow function. (consistent-return)
D:\Web\PlayerData_API\Controller\BattlePassRewardController.js: line 19, col 5, Warning - Unexpected console statement. (no-console)
D:\Web\PlayerData_API\Controller\BattlePassRewardController.js: line 33, col 5, Warning - Unexpected console statement. (no-console)
D:\Web\PlayerData_API\Controller\BattlePassRewardController.js: line 46, col 5, Warning - Unexpected console statement. (no-console)
D:\Web\PlayerData_API\Controller\BattlePassRewardController.js: line 57, col 5, Warning - Unexpected console statement. (no-console)
D:\Web\PlayerData_API\Controller\PlayerRewardController.js: line 9, col 38, Error - Expected to return a value at the end of async arrow function. (consistent-return)
D:\Web\PlayerData_API\Controller\PlayerRewardController.js: line 19, col 5, Warning - Unexpected console statement. (no-console)
D:\Web\PlayerData_API\Controller\PlayerRewardController.js: line 41, col 5, Warning - Unexpected console statement. (no-console)
D:\Web\PlayerData_API\Controller\PlayerRewardController.js: line 54, col 5, Warning - Unexpected console statement. (no-console)
D:\Web\PlayerData_API\Controller\PlayerRewardController.js: line 60, col 38, Error - Expected to return a value at the end of async arrow function. (consistent-return)
D:\Web\PlayerData_API\Controller\PlayerRewardController.js: line 67, col 5, Warning - Unexpected console statement. (no-console)
D:\Web\PlayerData_API\index.js: line 234, col 5, Warning - Unexpected console statement. (no-console)
D:\Web\PlayerData_API\migrations\20241201000000_add_database_indexes.js: line 5, col 24, Error - 'knex' is defined but never used. Allowed unused args must match /^_/u. (no-unused-vars)
D:\Web\PlayerData_API\migrations\20241201000000_add_database_indexes.js: line 39, col 26, Error - 'knex' is defined but never used. Allowed unused args must match /^_/u. (no-unused-vars)
D:\Web\PlayerData_API\migrations\20241201000001_add_database_indexes_safe.js: line 32, col 9, Warning - Unexpected console statement. (no-console)
D:\Web\PlayerData_API\migrations\20241201000001_add_database_indexes_safe.js: line 34, col 9, Warning - Unexpected console statement. (no-console)
D:\Web\PlayerData_API\migrations\20241201000001_add_database_indexes_safe.js: line 39, col 7, Warning - Unexpected console statement. (no-console)
D:\Web\PlayerData_API\migrations\20241201000001_add_database_indexes_safe.js: line 113, col 32, Error - 'knex' is defined but never used. Allowed unused args must match /^_/u. (no-unused-vars)
